strategy,cycle_index,pool_index,participant,y_true,y_pred,reviewed_label,confidence,was_corrected
random,2,540,P8,1,0,1,0.36601126194000244,1
random,2,2703,P23,2,2,2,0.3026464879512787,0
random,2,1695,P12,2,0,2,0.3319249451160431,1
random,2,2036,P14,2,0,2,0.42247721552848816,1
random,2,167,P8,3,3,3,0.3235631585121155,0
random,2,1286,P12,0,0,0,0.4612416923046112,0
random,2,2853,P23,0,0,0,0.3861302435398102,0
random,2,1499,P12,2,0,2,0.30476856231689453,1
random,2,1171,P12,1,3,1,0.2878699004650116,1
random,2,2257,P14,0,0,0,0.40660327672958374,0
random,2,1665,P12,2,0,2,0.40849569439888,1
random,2,992,P12,2,0,2,0.279559463262558,1
random,2,1087,P12,2,0,2,0.3843943476676941,1
random,2,533,P8,1,0,1,0.374085009098053,1
random,3,2594,P14,0,1,0,0.3184959888458252,1
random,3,1686,P12,2,0,2,0.32913467288017273,1
random,3,1189,P12,1,0,1,0.6007615327835083,1
random,3,1328,P12,0,0,0,0.4585115313529968,0
random,3,186,P8,0,0,0,0.5466026663780212,0
random,3,2999,P23,2,0,2,0.42353394627571106,1
random,3,1198,P12,3,0,3,0.2852686643600464,1
random,3,1071,P12,2,3,2,0.30506768822669983,1
random,3,2021,P14,2,0,2,0.5123878717422485,1
random,3,2691,P23,2,2,2,0.273451030254364,0
random,3,3345,P23,0,2,0,0.26977410912513733,1
random,3,107,P8,1,3,1,0.338433176279068,1
random,3,1288,P12,0,0,0,0.7597973346710205,0
random,3,2360,P14,2,0,2,0.3936944305896759,1
random,3,2704,P23,2,2,2,0.3022118806838989,0
random,3,126,P8,1,0,1,0.3217400312423706,1
random,3,283,P8,0,0,0,0.6008188128471375,0
random,3,1808,P12,1,3,1,0.41100049018859863,1
random,3,1479,P12,2,0,2,0.3196380138397217,1
random,3,2656,P23,2,0,2,0.6912603974342346,1
random,3,1498,P12,2,3,2,0.3473849296569824,1
random,3,1966,P14,2,0,2,0.31332820653915405,1
random,3,3127,P23,2,0,2,0.28990381956100464,1
random,3,824,P8,1,3,1,0.4803253710269928,1
random,3,793,P8,1,0,1,0.45884594321250916,1
random,3,1629,P12,2,0,2,0.3648591935634613,1
random,3,2394,P14,2,0,2,0.8278008103370667,1
random,3,2936,P23,0,0,0,0.49019676446914673,0
random,3,2689,P23,2,3,2,0.33823052048683167,1
random,3,2135,P14,0,0,0,0.7012424468994141,0
random,3,3243,P23,3,0,3,0.7435786724090576,1
random,3,1800,P12,1,3,1,0.2712128460407257,1
uncertainty,1,1483,P12,2,1,2,0.25877755880355835,1
uncertainty,1,1461,P12,2,0,2,0.25892606377601624,1
uncertainty,1,1116,P12,2,1,2,0.2591271698474884,1
uncertainty,1,2222,P14,0,3,0,0.2603331506252289,1
uncertainty,1,2331,P14,1,1,1,0.2596556842327118,0
uncertainty,1,2785,P23,3,3,3,0.2654951214790344,0
uncertainty,1,2694,P23,2,1,2,0.2608342170715332,1
uncertainty,1,3345,P23,0,3,0,0.26897796988487244,1
uncertainty,1,2501,P14,0,0,0,0.26839014887809753,0
uncertainty,1,1648,P12,2,2,2,0.2585863769054413,0
uncertainty,1,2307,P14,2,2,2,0.26559334993362427,0
uncertainty,1,2571,P14,0,0,0,0.25987768173217773,0
uncertainty,1,1734,P12,2,3,2,0.26460424065589905,1
uncertainty,1,3333,P23,0,1,0,0.2642590403556824,1
uncertainty,1,3001,P23,2,1,2,0.2615719437599182,1
uncertainty,1,2079,P14,3,1,3,0.26622235774993896,1
uncertainty,1,1091,P12,2,3,2,0.2700973451137543,1
uncertainty,1,2279,P14,2,1,2,0.2637300491333008,1
uncertainty,1,2937,P23,0,3,0,0.25973883271217346,1
uncertainty,1,3141,P23,2,0,2,0.26983174681663513,1
uncertainty,1,3069,P23,2,0,2,0.2642449736595154,1
uncertainty,1,3332,P23,0,2,0,0.2616007924079895,1
uncertainty,1,2475,P14,1,3,1,0.266385555267334,1
uncertainty,1,3225,P23,1,2,1,0.27198511362075806,1
uncertainty,1,1466,P12,2,3,2,0.2712767422199249,1
uncertainty,1,1603,P12,1,3,1,0.26402971148490906,1
uncertainty,1,2772,P23,3,0,3,0.2706732451915741,1
uncertainty,1,2368,P14,2,3,2,0.2653060555458069,1
uncertainty,1,2076,P14,3,1,3,0.2667316496372223,1
uncertainty,1,2984,P23,2,3,2,0.2607281506061554,1
uncertainty,1,2579,P14,0,2,0,0.2746794521808624,1
uncertainty,1,3024,P23,3,0,3,0.2652035653591156,1
uncertainty,2,2335,P14,1,1,1,0.2604048252105713,0
uncertainty,2,2038,P14,2,1,2,0.2571136951446533,1
uncertainty,2,1560,P12,2,1,2,0.2690408229827881,1
uncertainty,2,1642,P12,2,1,2,0.26827749609947205,1
uncertainty,2,1042,P12,2,1,2,0.2646116614341736,1
uncertainty,2,3128,P23,2,1,2,0.27093514800071716,1
uncertainty,2,1437,P12,2,1,2,0.27043506503105164,1
uncertainty,2,2482,P14,3,1,3,0.25593799352645874,1
uncertainty,2,1832,P12,3,0,3,0.26872459053993225,1
uncertainty,2,1666,P12,2,2,2,0.2710675001144409,0
uncertainty,2,1741,P12,2,3,2,0.27101635932922363,1
uncertainty,2,3361,P23,0,1,0,0.2620660960674286,1
uncertainty,2,2615,P23,2,1,2,0.2662287950515747,1
uncertainty,2,2691,P23,2,2,2,0.2720678448677063,0
uncertainty,2,1338,P12,0,0,0,0.2733971178531647,0
uncertainty,2,2086,P14,3,2,3,0.25932469964027405,1
uncertainty,2,3091,P23,2,3,2,0.26180216670036316,1
uncertainty,2,3172,P23,2,0,2,0.26995450258255005,1
uncertainty,2,1587,P12,1,2,1,0.25981810688972473,1
uncertainty,2,2986,P23,2,2,2,0.2641589343547821,0
uncertainty,2,3062,P23,2,3,2,0.26513245701789856,1
uncertainty,2,997,P12,2,0,2,0.26880335807800293,1
uncertainty,2,3334,P23,0,1,0,0.25837114453315735,1
uncertainty,2,1181,P12,1,3,1,0.26352542638778687,1
uncertainty,2,2470,P14,1,1,1,0.2635970413684845,0
uncertainty,2,2699,P23,2,0,2,0.27745872735977173,1
uncertainty,2,2756,P23,1,2,1,0.2677459716796875,1
uncertainty,2,3060,P23,2,2,2,0.26102831959724426,0
uncertainty,2,3068,P23,2,3,2,0.274933785200119,1
uncertainty,2,1117,P12,2,0,2,0.26147472858428955,1
uncertainty,2,1809,P12,1,0,1,0.27131855487823486,1
uncertainty,2,3116,P23,2,0,2,0.2705572545528412,1
uncertainty,3,1131,P12,2,0,2,0.2513999938964844,1
uncertainty,3,1163,P12,1,0,1,0.2664813995361328,1
uncertainty,3,2776,P23,3,0,3,0.26892057061195374,1
uncertainty,3,520,P8,1,0,1,0.26162272691726685,1
uncertainty,3,3113,P23,2,0,2,0.27364581823349,1
uncertainty,3,2989,P23,2,0,2,0.2639335095882416,1
uncertainty,3,1011,P12,2,0,2,0.2794640362262726,1
uncertainty,3,403,P8,2,3,2,0.2668074667453766,1
uncertainty,3,2728,P23,1,0,1,0.2666356563568115,1
uncertainty,3,2403,P14,2,1,2,0.2727174758911133,1
uncertainty,3,1667,P12,2,0,2,0.2701677083969116,1
uncertainty,3,1656,P12,2,0,2,0.2608131170272827,1
uncertainty,3,3104,P23,2,3,2,0.263441264629364,1
uncertainty,3,1453,P12,2,2,2,0.28304970264434814,0
uncertainty,3,1020,P12,2,0,2,0.2676689624786377,1
uncertainty,3,2223,P14,0,0,0,0.27287209033966064,0
uncertainty,3,1145,P12,2,0,2,0.2651680111885071,1
uncertainty,3,1749,P12,2,1,2,0.2825149595737457,1
uncertainty,3,3198,P23,1,0,1,0.26537877321243286,1
uncertainty,3,2312,P14,2,3,2,0.26829656958580017,1
uncertainty,3,2706,P23,2,3,2,0.2734891474246979,1
uncertainty,3,3011,P23,1,0,1,0.2704882025718689,1
uncertainty,3,2812,P23,0,0,0,0.2611211836338043,0
uncertainty,3,3073,P23,2,0,2,0.2766053080558777,1
uncertainty,3,2926,P23,0,0,0,0.28143009543418884,0
uncertainty,3,1772,P12,1,1,1,0.28023281693458557,0
uncertainty,3,2311,P14,2,2,2,0.2691743075847626,0
uncertainty,3,2087,P14,3,2,3,0.2741813361644745,1
uncertainty,3,3108,P23,2,0,2,0.27219852805137634,1
uncertainty,3,1576,P12,2,3,2,0.2773498594760895,1
uncertainty,3,3186,P23,2,2,2,0.2655772864818573,0
uncertainty,3,3254,P23,0,2,0,0.2596342861652374,1
hybrid,1,1483,P12,2,1,2,0.25877755880355835,1
hybrid,1,395,P8,2,3,2,0.2729456126689911,1
hybrid,1,2512,P14,0,1,0,0.26866382360458374,1
hybrid,1,1832,P12,3,1,3,0.27183887362480164,1
hybrid,1,2937,P23,0,3,0,0.25973883271217346,1
hybrid,1,2579,P14,0,2,0,0.2746794521808624,1
hybrid,1,1741,P12,2,0,2,0.2694055140018463,1
hybrid,1,2222,P14,0,3,0,0.2603331506252289,1
hybrid,1,2331,P14,1,1,1,0.2596556842327118,0
hybrid,1,1338,P12,0,0,0,0.2755599319934845,0
hybrid,1,2728,P23,1,0,1,0.2660057544708252,1
hybrid,1,2279,P14,2,1,2,0.2637300491333008,1
hybrid,1,1466,P12,2,3,2,0.2712767422199249,1
hybrid,1,1461,P12,2,0,2,0.25892606377601624,1
hybrid,1,3333,P23,0,1,0,0.2642590403556824,1
hybrid,1,1131,P12,2,0,2,0.2609809339046478,1
hybrid,1,2694,P23,2,1,2,0.2608342170715332,1
hybrid,1,1734,P12,2,3,2,0.26460424065589905,1
hybrid,1,486,P8,1,3,1,0.2715110182762146,1
hybrid,1,2475,P14,1,3,1,0.266385555267334,1
hybrid,1,1091,P12,2,3,2,0.2700973451137543,1
hybrid,1,1116,P12,2,1,2,0.2591271698474884,1
hybrid,1,2785,P23,3,3,3,0.2654951214790344,0
hybrid,1,1648,P12,2,2,2,0.2585863769054413,0
hybrid,1,2079,P14,3,1,3,0.26622235774993896,1
hybrid,1,1910,P12,0,1,0,0.2692590355873108,1
hybrid,1,3069,P23,2,0,2,0.2642449736595154,1
hybrid,1,1587,P12,1,2,1,0.25962451100349426,1
hybrid,1,2571,P14,0,0,0,0.25987768173217773,0
hybrid,1,2776,P23,3,0,3,0.26977959275245667,1
hybrid,1,3001,P23,2,1,2,0.2615719437599182,1
hybrid,1,2501,P14,0,0,0,0.26839014887809753,0
hybrid,2,2984,P23,2,3,2,0.2577434778213501,1
hybrid,2,673,P8,2,3,2,0.27801424264907837,1
hybrid,2,2335,P14,1,1,1,0.26444780826568604,0
hybrid,2,2336,P14,1,3,1,0.2620430886745453,1
hybrid,2,3091,P23,2,3,2,0.26336896419525146,1
hybrid,2,3322,P23,0,3,0,0.25558823347091675,1
hybrid,2,1611,P12,3,3,3,0.2848600149154663,0
hybrid,2,1181,P12,1,3,1,0.2608858048915863,1
hybrid,2,482,P8,1,1,1,0.292446106672287,0
hybrid,2,1478,P12,2,3,2,0.26301664113998413,1
hybrid,2,3225,P23,1,0,1,0.2738761007785797,1
hybrid,2,1546,P12,2,3,2,0.2670051157474518,1
hybrid,2,2307,P14,2,2,2,0.2662373483181,0
hybrid,2,1744,P12,2,3,2,0.26046183705329895,1
hybrid,2,2368,P14,2,3,2,0.26279667019844055,1
hybrid,2,1822,P12,1,3,1,0.26507046818733215,1
hybrid,2,3024,P23,3,0,3,0.2673645615577698,1
hybrid,2,1090,P12,2,3,2,0.2625417411327362,1
hybrid,2,1987,P14,2,1,2,0.2687888741493225,1
hybrid,2,3132,P23,2,3,2,0.26835575699806213,1
hybrid,2,1616,P12,3,3,3,0.2757450342178345,0
hybrid,2,2772,P23,3,0,3,0.271088182926178,1
hybrid,2,3332,P23,0,2,0,0.2617742717266083,1
hybrid,2,2312,P14,2,3,2,0.2617703974246979,1
hybrid,2,2615,P23,2,1,2,0.26677069067955017,1
hybrid,2,1570,P12,2,3,2,0.2724420726299286,1
hybrid,2,144,P8,3,3,3,0.2861658036708832,0
hybrid,2,1560,P12,2,1,2,0.2720916271209717,1
hybrid,2,1517,P12,2,3,2,0.26545748114585876,1
hybrid,2,2051,P14,2,3,2,0.2657437026500702,1
hybrid,2,1712,P12,2,3,2,0.28135165572166443,1
hybrid,2,666,P8,2,3,2,0.2814549505710602,1
hybrid,3,1117,P12,2,0,2,0.25923630595207214,1
hybrid,3,665,P8,2,3,2,0.286149799823761,1
hybrid,3,403,P8,2,0,2,0.2651071846485138,1
hybrid,3,1290,P12,0,3,0,0.2845466434955597,1
hybrid,3,2691,P23,2,2,2,0.27271580696105957,0
hybrid,3,997,P12,2,0,2,0.2677939236164093,1
hybrid,3,520,P8,1,0,1,0.2655666172504425,1
hybrid,3,1748,P12,2,0,2,0.26614344120025635,1
hybrid,3,3141,P23,2,0,2,0.26792627573013306,1
hybrid,3,3172,P23,2,0,2,0.26876598596572876,1
hybrid,3,2482,P14,3,1,3,0.25764158368110657,1
hybrid,3,1467,P12,2,3,2,0.2782125473022461,1
hybrid,3,2010,P14,2,1,2,0.2860133647918701,1
hybrid,3,3068,P23,2,3,2,0.2732106149196625,1
hybrid,3,1742,P12,2,3,2,0.2721239924430847,1
hybrid,3,1731,P12,2,3,2,0.2847650647163391,1
hybrid,3,1198,P12,3,0,3,0.2869507372379303,1
hybrid,3,1163,P12,1,0,1,0.26962924003601074,1
hybrid,3,2038,P14,2,1,2,0.25828230381011963,1
hybrid,3,1642,P12,2,1,2,0.2696898281574249,1
hybrid,3,1437,P12,2,1,2,0.2718777358531952,1
hybrid,3,3272,P23,0,3,0,0.25777578353881836,1
hybrid,3,1809,P12,1,0,1,0.27044063806533813,1
hybrid,3,3104,P23,2,3,2,0.26037317514419556,1
hybrid,3,1576,P12,2,0,2,0.27694109082221985,1
hybrid,3,3345,P23,0,2,0,0.26964622735977173,1
hybrid,3,2076,P14,3,1,3,0.2672821581363678,1
hybrid,3,3116,P23,2,0,2,0.2684500813484192,1
hybrid,3,3160,P23,2,0,2,0.27604904770851135,1
hybrid,3,1453,P12,2,2,2,0.2853928208351135,0
hybrid,3,525,P8,1,3,1,0.2749253809452057,1
hybrid,3,2989,P23,2,0,2,0.26564309000968933,1
