row_index_in_batch,y_true,y_pred,confidence,anomaly_score,model_error,priority_score,selection_reasons,batch_index,participants,reviewed_label,human_correct,model_corrected,human_agrees_with_model
22,0,0,0.8720993995666504,4.446212221831722,0,6.669318332747583,anomalous_high_confidence,3,"P11,P7",0,1,0,1
137,0,0,0.9022062420845032,5.388787952172948,0,9.724934560348471,"anomalous_high_confidence,drift_batch",4,P11,0,1,0,1
120,0,0,0.9324153661727905,5.3316298793331836,0,9.639197451088823,"anomalous_high_confidence,drift_batch",4,P11,0,1,0,1
68,0,0,0.9566745162010193,5.1350008050163565,0,9.344253839613582,"anomalous_high_confidence,drift_batch",4,P11,0,1,0,1
69,0,0,0.8671875,4.221492834206539,0,7.973991883398855,"anomalous_high_confidence,drift_batch",4,P11,0,1,0,1
162,2,2,0.2536807656288147,1.7060715468865317,0,3.134391100831418,"low_confidence,drift_batch",4,P11,2,1,0,1
207,1,0,0.25850507616996765,2.0901640276077917,1,3.124742479749112,"low_confidence,drift_batch",4,P11,1,1,1,0
150,2,0,0.2603355348110199,0.8707459767957744,1,3.1210815624670074,"low_confidence,drift_batch",4,P11,2,1,1,0
213,1,2,0.260565847158432,0.969595631215247,1,3.120620937772183,"low_confidence,drift_batch",4,P11,1,1,1,0
51,2,2,0.2548072636127472,0.9934991436171419,0,2.766120516733556,"low_confidence,drift_batch",5,P11,2,1,0,1
161,2,3,0.2597319781780243,1.9556855182756174,1,2.7562710876030017,"low_confidence,drift_batch",5,P11,2,1,1,0
181,1,0,0.26166313886642456,1.7417441314266842,1,2.752408766226201,"low_confidence,drift_batch",5,P11,1,1,1,0
222,0,2,0.2647246718406677,1.5420193998309435,1,2.746285700277715,"low_confidence,drift_batch",5,P11,0,1,1,0
81,2,2,0.2652655839920044,1.2567311045881002,0,2.7452038759750415,"low_confidence,drift_batch",5,P11,2,1,0,1
69,2,2,0.2652994692325592,3.0257444618375313,0,2.745136105493932,"low_confidence,drift_batch",5,P11,2,1,0,1
63,2,2,0.2674705982208252,2.6688756129028155,0,2.7407938475174,"low_confidence,drift_batch",5,P11,2,1,0,1
211,0,0,0.2690342366695404,2.8595907941809977,0,2.7376665706199694,"low_confidence,drift_batch",5,P11,0,1,0,1
56,0,2,0.2601913809776306,1.9684944832700166,1,1.4796172380447388,low_confidence,6,"P11,P18",0,1,1,0
3,0,3,0.2642103433609009,2.1931931560949334,1,1.4715793132781982,low_confidence,6,"P11,P18",0,1,1,0
0,0,3,0.2654646337032318,1.6278731278576088,1,1.4690707325935364,low_confidence,6,"P11,P18",0,1,1,0
60,0,1,0.26839157938957214,2.2819108957219987,1,1.4632168412208557,low_confidence,6,"P11,P18",0,1,1,0
57,0,0,0.26865139603614807,1.6597337697937984,0,1.4626972079277039,low_confidence,6,"P11,P18",0,1,0,1
137,2,3,0.27063557505607605,1.892179495713204,1,1.458728849887848,low_confidence,6,"P11,P18",2,1,1,0
44,0,0,0.2722512483596802,1.993555221130279,0,1.4554975032806396,low_confidence,6,"P11,P18",0,1,0,1
163,2,2,0.2732275724411011,1.2514238092151244,0,1.4535448551177979,low_confidence,6,"P11,P18",2,1,0,1
80,0,2,0.2582378685474396,0.9761635707898024,1,2.3960335625478737,"low_confidence,drift_batch",7,P18,0,1,1,0
55,0,2,0.2646533250808716,0.8796754682994732,1,2.3832026494810097,"low_confidence,drift_batch",7,P18,0,1,1,0
49,0,2,0.26540207862854004,1.0415995407465033,1,2.3817051423856728,"low_confidence,drift_batch",7,P18,0,1,1,0
181,0,0,0.2669582664966583,1.5095138722710302,0,2.378592766649436,"low_confidence,drift_batch",7,P18,0,1,0,1
84,0,2,0.2674621045589447,0.5659536449606991,1,2.3775850905248634,"low_confidence,drift_batch",7,P18,0,1,1,0
61,0,3,0.26817941665649414,1.8262611507324082,1,2.3761504663297646,"low_confidence,drift_batch",7,P18,0,1,1,0
169,0,2,0.26961731910705566,1.3205449600987735,1,2.3732746614286415,"low_confidence,drift_batch",7,P18,0,1,1,0
187,0,2,0.27008652687072754,1.3537336051168174,1,2.3723362459012978,"low_confidence,drift_batch",7,P18,0,1,1,0
143,2,3,0.267521470785141,1.0547171926052312,1,3.151211355774416,"low_confidence,drift_batch",8,P18,2,1,1,0
167,2,2,0.27051427960395813,0.7324360255777893,0,3.145225738136782,"low_confidence,drift_batch",8,P18,2,1,0,1
168,2,2,0.27265259623527527,0.8181926277845061,0,3.1409491048741476,"low_confidence,drift_batch",8,P18,2,1,0,1
219,1,2,0.27346521615982056,1.0570427544029084,1,3.139323865025057,"low_confidence,drift_batch",8,P18,1,1,1,0
180,2,2,0.2746075391769409,0.9781013878925084,0,3.1370392189908163,"low_confidence,drift_batch",8,P18,2,1,0,1
6,2,0,0.27780693769454956,1.527726383309409,1,3.130640421955599,"low_confidence,drift_batch",8,P18,2,1,1,0
153,2,2,0.2778197228908539,1.2891867596977256,0,3.1306148515629904,"low_confidence,drift_batch",8,P18,2,1,0,1
87,1,2,0.28017470240592957,1.5595886107774353,1,3.125904892532839,"low_confidence,drift_batch",8,P18,1,1,1,0
172,2,3,0.2605566680431366,1.0819624320815362,1,2.6287806760634056,"low_confidence,drift_batch",9,"P18,P22",2,1,1,0
68,0,2,0.2611517012119293,1.2388783094243025,1,2.62759060972582,"low_confidence,drift_batch",9,"P18,P22",0,1,1,0
108,0,2,0.2637273073196411,1.05752504555575,1,2.6224393975103966,"low_confidence,drift_batch",9,"P18,P22",0,1,1,0
162,2,2,0.2651684582233429,1.7193346937394924,0,2.619557095702993,"low_confidence,drift_batch",9,"P18,P22",2,1,0,1
56,0,2,0.26577067375183105,1.0748448968742563,1,2.6183526646460167,"low_confidence,drift_batch",9,"P18,P22",0,1,1,0
244,2,2,0.2716768980026245,2.035431277556485,0,2.6065402161444298,"low_confidence,drift_batch",9,"P18,P22",2,1,0,1
218,2,2,0.27248576283454895,0.9240387049909798,0,2.604922486480581,"low_confidence,drift_batch",9,"P18,P22",2,1,0,1
201,2,2,0.2726331651210785,1.0842809635758441,0,2.604627681907522,"low_confidence,drift_batch",9,"P18,P22",2,1,0,1
246,0,0,0.2580447793006897,0.9810286556310913,0,2.351936078808821,"low_confidence,drift_batch",10,P22,0,1,0,1
232,0,2,0.2593477666378021,1.262553752508846,1,2.349330104134596,"low_confidence,drift_batch",10,P22,0,1,1,0
95,3,2,0.25961798429489136,0.6931144996194003,1,2.3487896688204177,"low_confidence,drift_batch",10,P22,3,1,1,0
187,0,0,0.2607485353946686,1.6846831827462014,0,2.3465285666208633,"low_confidence,drift_batch",10,P22,0,1,0,1
127,0,3,0.26078593730926514,1.6517505974714985,1,2.34645376279167,"low_confidence,drift_batch",10,P22,0,1,1,0
195,0,2,0.2634860575199127,1.0869470727928836,1,2.341053522370375,"low_confidence,drift_batch",10,P22,0,1,1,0
43,1,2,0.263887882232666,0.8833930090008947,1,2.3402498729448684,"low_confidence,drift_batch",10,P22,1,1,1,0
110,0,2,0.26426583528518677,1.470450216797376,1,2.339493966839827,"low_confidence,drift_batch",10,P22,0,1,1,0
190,2,2,0.2599599063396454,0.861635459743176,0,2.680934186693356,"low_confidence,drift_batch",11,P22,2,1,0,1
191,2,2,0.2616404592990875,1.1774174559530908,0,2.6775730807744718,"low_confidence,drift_batch",11,P22,2,1,0,1
245,2,0,0.26216650009155273,0.8252135553313549,1,2.6765209991895413,"low_confidence,drift_batch",11,P22,2,1,1,0
223,2,2,0.26650941371917725,0.9013302170011409,0,2.6678351719342923,"low_confidence,drift_batch",11,P22,2,1,0,1
56,2,2,0.2676332890987396,1.0465634179999352,0,2.6655874211751676,"low_confidence,drift_batch",11,P22,2,1,0,1
29,0,2,0.2680550217628479,1.064976110614969,1,2.664743955846951,"low_confidence,drift_batch",11,P22,0,1,1,0
45,2,2,0.2681921720504761,1.7134024817537479,0,2.6644696552716947,"low_confidence,drift_batch",11,P22,2,1,0,1
163,2,2,0.26830044388771057,1.144032451849894,0,2.6642531115972257,"low_confidence,drift_batch",11,P22,2,1,0,1
100,0,0,0.2576007843017578,1.1152296289147496,0,2.4284374684290686,"low_confidence,drift_batch",12,P22,0,1,0,1
145,0,2,0.2591170072555542,1.1700672301003288,1,2.425405022521476,"low_confidence,drift_batch",12,P22,0,1,1,0
191,0,0,0.2610969543457031,1.561405966156896,0,2.421445128341178,"low_confidence,drift_batch",12,P22,0,1,0,1
14,1,3,0.26327791810035706,1.619234761538125,1,2.41708320083187,"low_confidence,drift_batch",12,P22,1,1,1,0
134,0,3,0.263837605714798,1.0827279929360643,1,2.4159638256029883,"low_confidence,drift_batch",12,P22,0,1,1,0
132,0,2,0.26617398858070374,1.681204942735412,1,2.4112910598711768,"low_confidence,drift_batch",12,P22,0,1,1,0
131,0,2,0.26681217551231384,2.0222709298307215,1,2.4100146860079565,"low_confidence,drift_batch",12,P22,0,1,1,0
1,1,0,0.2675341069698334,1.5485499969700052,1,2.4085708230929175,"low_confidence,drift_batch",12,P22,1,1,1,0
